Voy no,Pre-DD / Post-DD,B/L,Combined,Avg Draft,Cargo Qty,EOSP Date,Dur (COSP-EOSP) (Hrs),NM,ME FO,ME GO,AE FO,AE GO,ME+AE,Blr,t/1000nm(ME-FO),t/1000nm(ME-GO),t/1000nm(AE-FO),t/1000nm(AE-GO),t/1000nm(Total ME),t/1000nm(Total AE),t/1000nm(Total ME+AE),t/1000nm(Blr),From,To
2324944-B,Pre-DD,,B.c,7.985,0,45291.5,642.0,6794.105,393.55,31.45,58.8,4.9,488.7,26.2,57.92521605,4.629012946,8.654561565,0.721213464,62.554229,9.375775028,71.93000403,3.856284235,Fangcheng,Neptune Terminal
2324944-L,Pre-DD,,L.c,14.53,93023,45328.96667,644.5,6214.461,410.6,14.7,60.3,3.7,489.3,25.7,66.07169954,2.365450519,9.703174579,0.595385505,68.43715006,10.29856008,78.73571014,4.135515534,Neptune Terminal,Fangcheng
2400665-B,Pre-DD,,B.c,8.305,0,45365.58333,657.5,7184.815,445.8,28.8,57.3,4.9,536.8,30.7,62.04752662,4.008453941,7.975153153,0.6819939,66.05598056,8.657147052,74.71312762,4.272900555,Fangcheng,Neptune Terminal
240065-L,Pre-DD,,L.c,14.94,96118,45403.91667,699.0,6345.12,490.85,4.2,60.35,0.5,555.9,13.8,77.35866304,0.661926016,9.511246438,0.078800716,78.02058905,9.590047154,87.61063621,2.174899765,Neptune Terminal,Fangcheng
2401786-B,Pre-DD,,B.c,6.6,0,45429.54167,542.2,6449.242,342.6,30.7,46.5,5.1,424.9,11.4,53.122522,4.760249344,7.210149658,0.790790608,57.88277134,8.000940266,65.88371161,1.767649594,Fangcheng,Neptune Terminal
2401786-L,Pre-DD,,L.c,15.01,96798,45462.39583,619.0,6330.79,448.7,0.0,57.2,0.0,505.9,19.9,70.87583066,0.0,9.035207296,0.0,70.87583066,9.035207296,79.91103796,3.143367573,Neptune Terminal,Fangcheng
2402093-B,Pre-DD,,B.c,6.6,0,45477.34167,129.1,1558.044,77.28,5.07,13.75,1.64,97.74,1.27,49.60065313,3.254080116,8.825167967,1.052601852,52.85473324,9.877769819,62.73250306,0.815124605,Fangcheng,Chengxi
2403543-B,Post-DD,,B.c,7.06,0,45530.0375,456.0,5271.93,270.8,17.3,49.57,2.86,340.53,10.94,51.36638764,3.281530673,9.402628639,0.542495822,54.64791831,9.945124461,64.59304278,2.075141362,Chengxi,Neptune Terminal
2403543-L,Post-DD,,L.c,14.81,95447,45568.54167,634.0,6355.62,424.53,3.35,59.53,0.52,487.93,25.49,66.79600102,0.527092557,9.366513416,0.081817352,67.32309358,9.448330769,76.77142435,4.010623669,Neptune Terminal,Fangcheng
2404792-B,Post-DD,,B.c,7.346666667,0,45599.29167,534.6,6022.316,310.11,32.48,56.26,4.67,403.52,24.02,51.49347859,5.39327395,9.341920949,0.775449179,56.88675254,10.11737013,67.00412267,3.988498777,Fangcheng,Roberts Bank
2404792-L,Post-DD,,L.c,14.92,95820,45641.925,626.2,6454.886,408.37,3.07,59.64,0.34,471.42,9.28,63.26525364,0.475608709,9.239512518,0.052673277,63.74086235,9.292185795,73.03304814,1.437670627,Roberts Bank,Fangcheng
2406105-B,Post-DD,,B.c,7.225,0,45674.75,633.0,6426.47,351.19,35.66,54.85,3.62,445.32,0.18,54.64741919,5.548924993,8.535012223,0.563295246,60.19634418,9.098307469,69.29465165,0.028009156,Fangcheng,Neptune Terminal
2406105-L,Post-DD,,L.c,14.75,95074,45722.41667,803.2,7145.944,460.45,63.47,63.59,9.67,597.18,0.0,64.4351537,8.881961571,8.898754314,1.353215195,73.31711528,10.25196951,83.56908478,0.0,Neptune Terminal,Fangcheng
2501172-B,Post-DD,,B.c,7.515,0,45752.97917,540.8,6080.357,325.93,24.68,50.2,3.65,404.46,0.04,53.60376044,4.058972195,8.256094173,0.6002937,57.66273263,8.856387873,66.51912051,0.006578561,Fangcheng,Neptune Terminal
2501173-L,Post-DD,,L.c,14.78,95713,45782.90833,612.8,6354.386,515.15,1.87,52.6,0.33,569.95,0.0,81.06998851,0.294284924,8.277747055,0.051932634,81.36427343,8.329679689,89.69395312,0.0,Neptune Terminal,Fangcheng
2502862-B,Post-DD,,B.c,7.455,0,45809.5375,546.5,6064.862,271.365,26.81,48.961,3.65,350.786,0.06,44.74380456,4.42054576,8.07289597,0.601827379,49.16435032,8.674723349,57.83907367,0.009893053,Fangcheng,At Sea
2502862-L,Post-DD,,L.c,14.95,96800,45841.08333,637.2,6307.968,422.21,5.44,56.52,0.74,484.91,0.01,66.93280625,0.862401331,8.960096183,0.117311946,67.79520759,9.077408129,76.87261571,0.001585297,At Sea,Fangcheng
2504325-B,Post-DD,,B.c,7.405,0,45871.37917,450.9,5319.115,256.47,19.82,42.71,3.26,322.26,0.0,48.21666762,3.726183773,8.029531228,0.61288391,51.9428514,8.642415139,60.58526653,0.0,Fangcheng,At Sea
2504325-L,Post-DD,,L.c,14.99,96800,45904.33333,609.0,6245.6,408.4,3.29,57.42,0.41,469.52,0.0,65.39003458,0.526770847,9.193672345,0.065646215,65.91680543,9.25931856,75.17612399,0.0,Neptune Terminal,Fangcheng
2505346-B,Post-DD,,B.c,6.6,0,45910.9375,35.5,403.045,0.0,21.9,0.0,2.98,24.88,0.01,0.0,54.33636443,0.0,7.393715342,54.33636443,7.393715342,61.73007977,0.024811125,Fangcheng,Hong Kong
